,repository_ID,name,URL,created_date,description,number_of_stars
0,22790488,java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09 16:45:18,Design patterns implemented in Java,72823
1,160640094,LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06 08:01:22,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,68770
2,151834062,advanced-java,https://github.com/doocs/advanced-java,2018-10-06 11:38:30,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,59728
3,507775,elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08 13:20:56,"Free and Open, Distributed, RESTful Search Engine",58298
4,1148753,spring-framework,https://github.com/spring-projects/spring-framework,2010-12-08 04:04:45,Spring Framework,45971
5,63477660,Java,https://github.com/TheAlgorithms/Java,2016-07-16 10:21:02,All Algorithms implemented in Java,44036
6,206462776,GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05 03:01:56,:cn: GitHub中文排行榜，各语言分离设置「软件 / 资料」榜单，精准定位中文好项目。各取所需，互不干扰，高效学习。,43846
7,20300177,guava,https://github.com/google/guava,2014-05-29 16:23:17,Google core libraries for Java,43538
8,892275,retrofit,https://github.com/square/retrofit,2010-09-06 21:39:43,A type-safe HTTP client for Android and the JVM,39403
9,4710920,dubbo,https://github.com/apache/dubbo,2012-06-19 07:56:02,"Apache Dubbo is a high-performance, java based, open source RPC framework.",36762
